"timestamp","pressure","latitude","longitude"
2024-07-15 15:55:00,1011.365509,-6.794087552,39.21942121
2024-07-15 15:55:08,1011.403427,-6.795295089,39.21928859
2024-07-15 15:55:16,1011.394043,-6.794542448,39.21936292
2024-07-15 15:55:25,1011.390991,-6.794817798,39.21931858
2024-07-15 15:55:26,1011.403503,-6.794621517,39.21935471
2024-07-15 15:55:27,1011.41037,-6.794471514,39.21938986
2024-07-15 15:55:29,1011.417389,-6.794315934,39.21943695
2024-07-15 15:55:30,1011.408691,-6.794206935,39.21945123
2024-07-15 15:55:31,1011.396713,-6.794119862,39.21947951
2024-07-15 15:55:34,1011.378708,-6.7940215,39.21951538
2024-07-15 15:55:37,1011.366653,-6.793910329,39.21953884
2024-07-15 15:55:39,1011.360931,-6.793811392,39.21956027
2024-07-15 15:55:41,1011.368484,-6.793660335,39.21960327
2024-07-15 15:55:43,1011.373444,-6.793503049,39.21964064
2024-07-15 15:55:45,1011.372986,-6.79338346,39.21967873
2024-07-15 15:55:48,1011.352615,-6.793258497,39.21970508
2024-07-15 15:55:50,1011.335678,-6.793137826,39.21973731
2024-07-15 15:55:51,1011.325989,-6.793044469,39.21975668
2024-07-15 15:55:52,1011.312714,-6.792956897,39.21979488
2024-07-15 15:55:54,1011.309814,-6.792786834,39.21984307
2024-07-15 15:55:55,1011.314087,-6.792688293,39.21986145
2024-07-15 15:55:56,1011.328735,-6.792591775,39.21988906
2024-07-15 15:55:57,1011.359177,-6.792505301,39.21991381
2024-07-15 15:55:58,1011.39328,-6.792400848,39.21992763
2024-07-15 15:55:59,1011.431808,-6.792300519,39.21994303
2024-07-15 15:56:00,1011.4785,-6.792208183,39.21996888
2024-07-15 15:56:01,1011.530457,-6.792111003,39.21999368
2024-07-15 15:56:02,1011.584396,-6.792008325,39.22001546
2024-07-15 15:56:03,1011.628265,-6.791901212,39.22002733
2024-07-15 15:56:04,1011.662598,-6.791779911,39.22006955
2024-07-15 15:56:05,1011.696625,-6.791668305,39.220095
2024-07-15 15:56:06,1011.727982,-6.791548119,39.22012427
2024-07-15 15:56:07,1011.74469,-6.791429214,39.2201513
2024-07-15 15:56:08,1011.758423,-6.791313277,39.22017983
2024-07-15 15:56:09,1011.774063,-6.79120282,39.22020845
2024-07-15 15:56:10,1011.774063,-6.79110277,39.22024081
2024-07-15 15:56:11,1011.769028,-6.791002849,39.22028279
2024-07-15 15:56:12,1011.761627,-6.790893816,39.2203222
2024-07-15 15:56:13,1011.761627,-6.790780982,39.2203602
2024-07-15 15:56:14,1011.764679,-6.790671104,39.22040083
2024-07-15 15:56:15,1011.766739,-6.790556871,39.22045169
2024-07-15 15:56:16,1011.773758,-6.790456832,39.22051037
2024-07-15 15:56:17,1011.779175,-6.790346737,39.22055394
2024-07-15 15:56:18,1011.779175,-6.790252889,39.22061736
2024-07-15 15:56:19,1011.769791,-6.790150138,39.22067648
